"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","24,909.40","25,402.00","25,418.00","24,902.00","28.22M","-1.84%"
"08/25/2024","25,376.90","24,901.65","25,399.00","24,885.00","27.14M","2.10%"
"08/18/2024","24,854.00","24,640.20","24,888.00","24,533.00","17.40M","1.09%"
"08/11/2024","24,585.50","24,355.00","24,606.15","24,122.15","26.35M","0.75%"
"08/04/2024","24,401.50","24,550.00","24,550.00","23,912.50","52.58M","-1.25%"
"07/28/2024","24,711.55","24,999.00","25,132.85","24,670.00","30.39M","-0.82%"
"07/21/2024","24,915.45","24,468.55","24,939.90","24,066.00","45.45M","1.58%"
"07/14/2024","24,529.10","24,599.95","24,838.00","24,504.00","24.06M","0.03%"
"07/07/2024","24,521.60","24,379.40","24,593.70","24,212.00","26.98M","0.58%"
"06/30/2024","24,379.40","24,125.00","24,454.90","24,082.00","25.31M","1.02%"
"06/23/2024","24,132.25","23,375.00","24,240.00","23,335.00","33.36M","2.75%"
"06/16/2024","23,487.30","23,511.15","23,669.75","23,415.20","24.93M","0.09%"
"06/09/2024","23,466.65","23,301.00","23,489.85","23,220.20","29.14M","0.61%"
"06/02/2024","23,325.15","23,501.65","23,844.00","21,265.00","102.33M","2.75%"
"05/26/2024","22,700.70","23,070.00","23,177.00","22,414.15","36.94M","-1.39%"
"05/19/2024","23,019.60","22,510.25","23,089.90","22,510.20","24.09M","2.32%"
"05/12/2024","22,497.70","22,100.00","22,546.00","21,900.00","39.48M","1.61%"
"05/05/2024","22,140.60","22,648.70","22,686.40","22,050.85","39.31M","-1.93%"
"04/28/2024","22,575.20","22,610.00","22,888.35","22,470.00","27.02M","0.09%"
"04/21/2024","22,556.00","22,261.25","22,705.00","22,186.00","32.01M","1.93%"
"04/14/2024","22,128.70","22,420.00","22,517.70","21,813.60","42.80M","-2.09%"
"04/07/2024","22,601.45","22,653.00","22,845.00","22,590.00","23.72M","0.03%"
"03/31/2024","22,595.50","22,539.95","22,669.00","22,420.05","32.10M","1.20%"
"03/24/2024","22,326.90","22,026.25","22,528.80","21,850.00","20.69M","0.73%"
"03/17/2024","22,165.45","22,143.95","22,258.00","21,798.05","35.57M","0.15%"
"03/10/2024","22,133.20","22,608.00","22,608.00","22,000.00","41.70M","-1.86%"
"03/03/2024","22,552.35","22,510.00","22,619.90","22,322.00","24.70M","0.49%"
"02/25/2024","22,443.20","22,195.00","22,453.45","21,843.00","35.70M","0.96%"
"02/18/2024","22,228.85","22,142.20","22,344.45","21,943.00","34.32M","0.59%"
"02/11/2024","22,097.80","21,905.60","22,139.95","21,600.85","36.57M","1.17%"
"02/04/2024","21,842.60","21,925.00","22,109.85","21,674.20","39.54M","-0.50%"
"01/28/2024","21,951.40","21,591.00","22,198.85","21,570.00","45.46M","2.80%"
"01/21/2024","21,352.60","21,741.00","21,783.00","21,141.00","34.21M","-1.47%"
"01/14/2024","21,672.15","22,050.20","22,149.90","21,316.80","39.50M","-1.25%"
"01/07/2024","21,947.00","21,789.50","21,995.00","21,501.00","35.35M","0.70%"
"12/31/2023","21,793.85","21,849.80","22,025.00","21,579.00","33.48M","-0.42%"
"12/24/2023","21,885.95","21,409.00","21,939.90","21,362.60","26.76M","2.26%"
"12/17/2023","21,402.35","21,509.00","21,680.00","21,060.00","40.17M","-0.72%"
"12/10/2023","21,557.10","21,086.55","21,589.90","20,900.10","30.52M","2.29%"
"12/03/2023","21,075.00","20,640.00","21,107.45","20,615.50","31.74M","3.43%"
"11/26/2023","20,375.15","19,889.95","20,410.00","19,827.90","23.32M","2.76%"
"11/19/2023","19,826.95","19,798.90","19,922.00","19,718.00","18.48M","0.10%"
"11/12/2023","19,806.50","19,650.00","19,934.00","19,469.65","21.20M","1.66%"
"11/05/2023","19,482.65","19,429.00","19,526.40","19,375.00","22.14M","0.93%"
"10/29/2023","19,303.60","19,069.50","19,451.05","19,014.60","29.92M","0.90%"
"10/22/2023","19,131.35","19,520.00","19,543.05","18,840.55","27.39M","-2.03%"
"10/15/2023","19,527.85","19,731.65","19,852.95","19,508.30","21.85M","-1.08%"
"10/08/2023","19,742.05","19,590.10","19,884.00","19,505.90","24.93M","0.32%"
"10/01/2023","19,678.50","19,650.00","19,691.95","19,362.80","23.42M","-0.15%"
"09/24/2023","19,709.00","19,722.25","19,794.00","19,501.00","29.76M","0.00%"
"09/17/2023","19,708.25","20,205.00","20,234.50","19,690.55","24.15M","-2.67%"
"09/10/2023","20,249.60","19,912.10","20,270.00","19,892.00","26.38M","1.90%"